MATCH: phishing_mails/152 -> similarity=1899.00, yara_score=0.00, total=1899.00
MATCH: phishing_mails/153 -> similarity=841.00, yara_score=0.00, total=841.00
NO MATCH: phishing_mails/154 -> similarity=431.00, yara_score=0.00, total=431.00
NO MATCH: phishing_mails/155 -> similarity=586.00, yara_score=0.00, total=586.00
MATCH: phishing_mails/156 -> similarity=15297.00, yara_score=0.00, total=15297.00
NO MATCH: phishing_mails/157 -> similarity=357.00, yara_score=0.00, total=357.00
NO MATCH: phishing_mails/158 -> similarity=307.00, yara_score=0.00, total=307.00
NO MATCH: phishing_mails/159 -> similarity=431.00, yara_score=0.00, total=431.00
MATCH: phishing_mails/160 -> similarity=945.00, yara_score=0.00, total=945.00
NO MATCH: phishing_mails/161 -> similarity=361.00, yara_score=0.00, total=361.00
MATCH: phishing_mails/162 -> similarity=3849.00, yara_score=0.00, total=3849.00
NO MATCH: phishing_mails/163 -> similarity=476.00, yara_score=0.00, total=476.00
MATCH: phishing_mails/164 -> similarity=11739.00, yara_score=0.00, total=11739.00
MATCH: phishing_mails/165 -> similarity=1586.00, yara_score=0.00, total=1586.00
NO MATCH: phishing_mails/166 -> similarity=514.00, yara_score=0.00, total=514.00
NO MATCH: phishing_mails/167 -> similarity=418.00, yara_score=0.00, total=418.00
MATCH: phishing_mails/168 -> similarity=5402.00, yara_score=0.00, total=5402.00
MATCH: phishing_mails/169 -> similarity=708.00, yara_score=0.00, total=708.00
MATCH: phishing_mails/170 -> similarity=2124.00, yara_score=0.00, total=2124.00
MATCH: phishing_mails/171 -> similarity=3528.00, yara_score=0.00, total=3528.00
MATCH: phishing_mails/172 -> similarity=756.00, yara_score=0.00, total=756.00
MATCH: phishing_mails/173 -> similarity=1474.00, yara_score=0.00, total=1474.00
NO MATCH: phishing_mails/174 -> similarity=492.00, yara_score=0.00, total=492.00
NO MATCH: phishing_mails/175 -> similarity=518.00, yara_score=0.00, total=518.00
MATCH: phishing_mails/176 -> similarity=1285.00, yara_score=0.00, total=1285.00
MATCH: phishing_mails/177 -> similarity=648.00, yara_score=0.00, total=648.00
MATCH: phishing_mails/178 -> similarity=638.00, yara_score=0.00, total=638.00
NO MATCH: phishing_mails/179 -> similarity=582.00, yara_score=0.00, total=582.00
MATCH: phishing_mails/180 -> similarity=1043.00, yara_score=0.00, total=1043.00
MATCH: phishing_mails/181 -> similarity=1218.00, yara_score=0.00, total=1218.00
MATCH: phishing_mails/182 -> similarity=6709.00, yara_score=0.00, total=6709.00
MATCH: phishing_mails/183 -> similarity=747.00, yara_score=0.00, total=747.00
MATCH: phishing_mails/184 -> similarity=2237.00, yara_score=0.00, total=2237.00
MATCH: phishing_mails/185 -> similarity=755.00, yara_score=0.00, total=755.00
MATCH: phishing_mails/186 -> similarity=694.00, yara_score=0.00, total=694.00
MATCH: phishing_mails/187 -> similarity=829.00, yara_score=0.00, total=829.00
NO MATCH: phishing_mails/188 -> similarity=567.00, yara_score=0.00, total=567.00
MATCH: phishing_mails/189 -> similarity=1217.00, yara_score=0.00, total=1217.00
NO MATCH: phishing_mails/190 -> similarity=440.00, yara_score=0.00, total=440.00
NO MATCH: phishing_mails/191 -> similarity=535.00, yara_score=0.00, total=535.00
MATCH: phishing_mails/192 -> similarity=1115.00, yara_score=0.00, total=1115.00
MATCH: phishing_mails/193 -> similarity=650.00, yara_score=0.00, total=650.00
NO MATCH: phishing_mails/194 -> similarity=370.00, yara_score=0.00, total=370.00
MATCH: phishing_mails/195 -> similarity=645.00, yara_score=0.00, total=645.00
MATCH: phishing_mails/196 -> similarity=1470.00, yara_score=0.00, total=1470.00
MATCH: phishing_mails/197 -> similarity=1935.00, yara_score=0.00, total=1935.00
NO MATCH: phishing_mails/198 -> similarity=331.00, yara_score=0.00, total=331.00
MATCH: phishing_mails/199 -> similarity=1021.00, yara_score=0.00, total=1021.00
NO MATCH: phishing_mails/200 -> similarity=407.00, yara_score=0.00, total=407.00
NO MATCH: phishing_mails/201 -> similarity=366.00, yara_score=0.00, total=366.00
NO MATCH: phishing_mails/202 -> similarity=265.00, yara_score=0.00, total=265.00
NO MATCH: phishing_mails/203 -> similarity=412.00, yara_score=0.00, total=412.00
MATCH: phishing_mails/204 -> similarity=1882.00, yara_score=0.00, total=1882.00
MATCH: phishing_mails/205 -> similarity=1354.00, yara_score=0.00, total=1354.00
NO MATCH: phishing_mails/206 -> similarity=560.00, yara_score=0.00, total=560.00
NO MATCH: phishing_mails/207 -> similarity=502.00, yara_score=0.00, total=502.00
MATCH: phishing_mails/208 -> similarity=627.00, yara_score=0.00, total=627.00
MATCH: phishing_mails/209 -> similarity=744.00, yara_score=0.00, total=744.00
MATCH: phishing_mails/210 -> similarity=739.00, yara_score=0.00, total=739.00
MATCH: phishing_mails/211 -> similarity=621.00, yara_score=0.00, total=621.00
MATCH: phishing_mails/212 -> similarity=1884.00, yara_score=0.00, total=1884.00
MATCH: phishing_mails/213 -> similarity=840.00, yara_score=0.00, total=840.00
NO MATCH: phishing_mails/214 -> similarity=497.00, yara_score=0.00, total=497.00
MATCH: phishing_mails/215 -> similarity=1780.00, yara_score=0.00, total=1780.00
NO MATCH: phishing_mails/216 -> similarity=568.00, yara_score=0.00, total=568.00
MATCH: phishing_mails/217 -> similarity=1890.00, yara_score=0.00, total=1890.00
MATCH: phishing_mails/218 -> similarity=724.00, yara_score=0.00, total=724.00
MATCH: phishing_mails/219 -> similarity=1791.00, yara_score=0.00, total=1791.00
MATCH: phishing_mails/220 -> similarity=752.00, yara_score=0.00, total=752.00
NO MATCH: phishing_mails/221 -> similarity=562.00, yara_score=0.00, total=562.00
MATCH: phishing_mails/222 -> similarity=956.00, yara_score=0.00, total=956.00
MATCH: phishing_mails/223 -> similarity=629.00, yara_score=0.00, total=629.00
NO MATCH: phishing_mails/224 -> similarity=396.00, yara_score=0.00, total=396.00
NO MATCH: phishing_mails/225 -> similarity=288.00, yara_score=0.00, total=288.00
NO MATCH: phishing_mails/226 -> similarity=475.00, yara_score=0.00, total=475.00
MATCH: phishing_mails/227 -> similarity=1008.00, yara_score=0.00, total=1008.00
MATCH: phishing_mails/228 -> similarity=832.00, yara_score=0.00, total=832.00
MATCH: phishing_mails/229 -> similarity=694.00, yara_score=0.00, total=694.00
NO MATCH: phishing_mails/230 -> similarity=510.00, yara_score=0.00, total=510.00
MATCH: phishing_mails/231 -> similarity=1180.00, yara_score=0.00, total=1180.00
MATCH: phishing_mails/232 -> similarity=750.00, yara_score=0.00, total=750.00
NO MATCH: phishing_mails/233 -> similarity=543.00, yara_score=0.00, total=543.00
MATCH: phishing_mails/234 -> similarity=636.00, yara_score=0.00, total=636.00
MATCH: phishing_mails/235 -> similarity=1010.00, yara_score=0.00, total=1010.00
MATCH: phishing_mails/236 -> similarity=4859.00, yara_score=0.00, total=4859.00
NO MATCH: phishing_mails/237 -> similarity=429.00, yara_score=0.00, total=429.00
MATCH: phishing_mails/238 -> similarity=824.00, yara_score=0.00, total=824.00
NO MATCH: phishing_mails/239 -> similarity=590.00, yara_score=0.00, total=590.00
MATCH: phishing_mails/240 -> similarity=1069.00, yara_score=0.00, total=1069.00
NO MATCH: phishing_mails/241 -> similarity=545.00, yara_score=0.00, total=545.00
MATCH: phishing_mails/242 -> similarity=735.00, yara_score=0.00, total=735.00
NO MATCH: phishing_mails/243 -> similarity=524.00, yara_score=0.00, total=524.00
MATCH: phishing_mails/244 -> similarity=879.00, yara_score=0.00, total=879.00
NO MATCH: phishing_mails/245 -> similarity=525.00, yara_score=0.00, total=525.00
NO MATCH: phishing_mails/246 -> similarity=509.00, yara_score=0.00, total=509.00
MATCH: phishing_mails/247 -> similarity=628.00, yara_score=0.00, total=628.00
NO MATCH: phishing_mails/248 -> similarity=588.00, yara_score=0.00, total=588.00
MATCH: phishing_mails/249 -> similarity=785.00, yara_score=0.00, total=785.00
MATCH: phishing_mails/250 -> similarity=2858.00, yara_score=0.00, total=2858.00
MATCH: phishing_mails/251 -> similarity=1005.00, yara_score=0.00, total=1005.00
MATCH: phishing_mails/252 -> similarity=2253.00, yara_score=0.00, total=2253.00
NO MATCH: phishing_mails/253 -> similarity=494.00, yara_score=0.00, total=494.00
MATCH: phishing_mails/254 -> similarity=1331.00, yara_score=0.00, total=1331.00
MATCH: phishing_mails/255 -> similarity=1467.00, yara_score=0.00, total=1467.00
NO MATCH: phishing_mails/256 -> similarity=534.00, yara_score=0.00, total=534.00
NO MATCH: phishing_mails/257 -> similarity=374.00, yara_score=0.00, total=374.00
NO MATCH: phishing_mails/258 -> similarity=314.00, yara_score=0.00, total=314.00
NO MATCH: phishing_mails/259 -> similarity=500.00, yara_score=0.00, total=500.00
MATCH: phishing_mails/260 -> similarity=800.00, yara_score=0.00, total=800.00
MATCH: phishing_mails/261 -> similarity=1897.00, yara_score=0.00, total=1897.00
NO MATCH: phishing_mails/262 -> similarity=251.00, yara_score=0.00, total=251.00
NO MATCH: phishing_mails/263 -> similarity=575.00, yara_score=0.00, total=575.00
MATCH: phishing_mails/264 -> similarity=906.00, yara_score=0.00, total=906.00
NO MATCH: phishing_mails/265 -> similarity=339.00, yara_score=0.00, total=339.00
MATCH: phishing_mails/266 -> similarity=1310.00, yara_score=0.00, total=1310.00
MATCH: phishing_mails/267 -> similarity=976.00, yara_score=0.00, total=976.00
NO MATCH: phishing_mails/268 -> similarity=443.00, yara_score=0.00, total=443.00
NO MATCH: phishing_mails/269 -> similarity=474.00, yara_score=0.00, total=474.00
MATCH: phishing_mails/270 -> similarity=1467.00, yara_score=0.00, total=1467.00
MATCH: phishing_mails/271 -> similarity=3200.00, yara_score=0.00, total=3200.00
MATCH: phishing_mails/272 -> similarity=5394.00, yara_score=0.00, total=5394.00
MATCH: phishing_mails/273 -> similarity=1305.00, yara_score=0.00, total=1305.00
MATCH: phishing_mails/274 -> similarity=1159.00, yara_score=0.00, total=1159.00
MATCH: phishing_mails/275 -> similarity=811.00, yara_score=0.00, total=811.00
NO MATCH: phishing_mails/276 -> similarity=512.00, yara_score=0.00, total=512.00
NO MATCH: phishing_mails/277 -> similarity=466.00, yara_score=0.00, total=466.00
MATCH: phishing_mails/278 -> similarity=821.00, yara_score=0.00, total=821.00
MATCH: phishing_mails/279 -> similarity=871.00, yara_score=0.00, total=871.00
MATCH: phishing_mails/280 -> similarity=2067.00, yara_score=0.00, total=2067.00
MATCH: phishing_mails/281 -> similarity=1670.00, yara_score=0.00, total=1670.00
MATCH: phishing_mails/282 -> similarity=1989.00, yara_score=0.00, total=1989.00
MATCH: phishing_mails/283 -> similarity=701.00, yara_score=0.00, total=701.00
NO MATCH: phishing_mails/284 -> similarity=618.00, yara_score=0.00, total=618.00
MATCH: phishing_mails/285 -> similarity=1115.00, yara_score=0.00, total=1115.00
MATCH: phishing_mails/286 -> similarity=1008.00, yara_score=0.00, total=1008.00
MATCH: phishing_mails/287 -> similarity=1027.00, yara_score=0.00, total=1027.00
NO MATCH: phishing_mails/288 -> similarity=480.00, yara_score=0.00, total=480.00
MATCH: phishing_mails/289 -> similarity=861.00, yara_score=0.00, total=861.00
MATCH: phishing_mails/290 -> similarity=1068.00, yara_score=0.00, total=1068.00
NO MATCH: phishing_mails/291 -> similarity=534.00, yara_score=0.00, total=534.00
NO MATCH: phishing_mails/292 -> similarity=375.00, yara_score=0.00, total=375.00
NO MATCH: phishing_mails/293 -> similarity=423.00, yara_score=0.00, total=423.00
MATCH: phishing_mails/294 -> similarity=1489.00, yara_score=0.00, total=1489.00
MATCH: phishing_mails/295 -> similarity=1817.00, yara_score=0.00, total=1817.00
MATCH: phishing_mails/296 -> similarity=1258.00, yara_score=0.00, total=1258.00
MATCH: phishing_mails/297 -> similarity=756.00, yara_score=0.00, total=756.00
NO MATCH: phishing_mails/298 -> similarity=517.00, yara_score=0.00, total=517.00
MATCH: phishing_mails/299 -> similarity=783.00, yara_score=0.00, total=783.00
MATCH: phishing_mails/300 -> similarity=2160.00, yara_score=0.00, total=2160.00
MATCH: phishing_mails/301 -> similarity=3695.00, yara_score=0.00, total=3695.00
NO MATCH: phishing_mails/302 -> similarity=481.00, yara_score=0.00, total=481.00
MATCH: phishing_mails/303 -> similarity=858.00, yara_score=0.00, total=858.00
MATCH: phishing_mails/304 -> similarity=631.00, yara_score=0.00, total=631.00
MATCH: phishing_mails/305 -> similarity=821.00, yara_score=0.00, total=821.00
MATCH: phishing_mails/306 -> similarity=1230.00, yara_score=0.00, total=1230.00
MATCH: phishing_mails/307 -> similarity=1093.00, yara_score=0.00, total=1093.00
NO MATCH: phishing_mails/308 -> similarity=405.00, yara_score=0.00, total=405.00
NO MATCH: phishing_mails/309 -> similarity=550.00, yara_score=0.00, total=550.00
NO MATCH: phishing_mails/310 -> similarity=604.00, yara_score=0.00, total=604.00
MATCH: phishing_mails/311 -> similarity=910.00, yara_score=0.00, total=910.00
MATCH: phishing_mails/312 -> similarity=757.00, yara_score=0.00, total=757.00
NO MATCH: phishing_mails/313 -> similarity=412.00, yara_score=0.00, total=412.00
MATCH: phishing_mails/314 -> similarity=638.00, yara_score=0.00, total=638.00
MATCH: phishing_mails/315 -> similarity=907.00, yara_score=0.00, total=907.00
MATCH: phishing_mails/316 -> similarity=821.00, yara_score=0.00, total=821.00
NO MATCH: phishing_mails/317 -> similarity=607.00, yara_score=0.00, total=607.00
MATCH: phishing_mails/318 -> similarity=875.00, yara_score=0.00, total=875.00
MATCH: phishing_mails/319 -> similarity=641.00, yara_score=0.00, total=641.00
NO MATCH: phishing_mails/320 -> similarity=430.00, yara_score=0.00, total=430.00
MATCH: phishing_mails/321 -> similarity=711.00, yara_score=0.00, total=711.00
MATCH: phishing_mails/322 -> similarity=1399.00, yara_score=0.00, total=1399.00
MATCH: phishing_mails/323 -> similarity=16419.00, yara_score=0.00, total=16419.00
MATCH: phishing_mails/324 -> similarity=3890.00, yara_score=0.00, total=3890.00
MATCH: phishing_mails/325 -> similarity=1525.00, yara_score=0.00, total=1525.00
MATCH: phishing_mails/326 -> similarity=1020.00, yara_score=0.00, total=1020.00
NO MATCH: phishing_mails/327 -> similarity=521.00, yara_score=0.00, total=521.00
NO MATCH: phishing_mails/328 -> similarity=561.00, yara_score=0.00, total=561.00
MATCH: phishing_mails/329 -> similarity=748.00, yara_score=0.00, total=748.00
MATCH: phishing_mails/330 -> similarity=1088.00, yara_score=0.00, total=1088.00
MATCH: phishing_mails/331 -> similarity=957.00, yara_score=0.00, total=957.00
MATCH: phishing_mails/332 -> similarity=804.00, yara_score=0.00, total=804.00
NO MATCH: phishing_mails/333 -> similarity=535.00, yara_score=0.00, total=535.00
MATCH: phishing_mails/334 -> similarity=1312.00, yara_score=0.00, total=1312.00
MATCH: phishing_mails/335 -> similarity=926.00, yara_score=0.00, total=926.00
MATCH: phishing_mails/336 -> similarity=856.00, yara_score=0.00, total=856.00
MATCH: phishing_mails/337 -> similarity=1213.00, yara_score=0.00, total=1213.00
NO MATCH: phishing_mails/338 -> similarity=619.00, yara_score=0.00, total=619.00
MATCH: phishing_mails/339 -> similarity=4015.00, yara_score=0.00, total=4015.00
MATCH: phishing_mails/340 -> similarity=2219.00, yara_score=0.00, total=2219.00
MATCH: phishing_mails/341 -> similarity=1027.00, yara_score=0.00, total=1027.00
NO MATCH: phishing_mails/342 -> similarity=496.00, yara_score=0.00, total=496.00
MATCH: phishing_mails/343 -> similarity=1564.00, yara_score=0.00, total=1564.00
NO MATCH: phishing_mails/344 -> similarity=436.00, yara_score=0.00, total=436.00
MATCH: phishing_mails/345 -> similarity=1611.00, yara_score=0.00, total=1611.00
