MATCH: phishing_mails/150 -> similarity=839.00, yara_score=0.00, total=839.00
MATCH: phishing_mails/151 -> similarity=709.00, yara_score=0.00, total=709.00
MATCH: phishing_mails/152 -> similarity=503.00, yara_score=0.00, total=503.00
MATCH: phishing_mails/153 -> similarity=701.00, yara_score=0.00, total=701.00
MATCH: phishing_mails/154 -> similarity=855.00, yara_score=0.00, total=855.00
MATCH: phishing_mails/155 -> similarity=610.00, yara_score=0.00, total=610.00
MATCH: phishing_mails/156 -> similarity=502.00, yara_score=0.00, total=502.00
MATCH: phishing_mails/157 -> similarity=1451.00, yara_score=0.00, total=1451.00
MATCH: phishing_mails/158 -> similarity=1970.00, yara_score=0.00, total=1970.00
MATCH: phishing_mails/159 -> similarity=686.00, yara_score=0.00, total=686.00
MATCH: phishing_mails/160 -> similarity=618.00, yara_score=0.00, total=618.00
MATCH: phishing_mails/161 -> similarity=407.00, yara_score=0.00, total=407.00
MATCH: phishing_mails/162 -> similarity=433.00, yara_score=0.00, total=433.00
MATCH: phishing_mails/163 -> similarity=509.00, yara_score=0.00, total=509.00
MATCH: phishing_mails/164 -> similarity=464.00, yara_score=0.00, total=464.00
MATCH: phishing_mails/165 -> similarity=1002.00, yara_score=0.00, total=1002.00
MATCH: phishing_mails/166 -> similarity=568.00, yara_score=0.00, total=568.00
MATCH: phishing_mails/167 -> similarity=675.00, yara_score=0.00, total=675.00
MATCH: phishing_mails/168 -> similarity=464.00, yara_score=0.00, total=464.00
MATCH: phishing_mails/169 -> similarity=442.00, yara_score=0.00, total=442.00
MATCH: phishing_mails/170 -> similarity=995.00, yara_score=0.00, total=995.00
MATCH: phishing_mails/171 -> similarity=487.00, yara_score=0.00, total=487.00
MATCH: phishing_mails/172 -> similarity=475.00, yara_score=0.00, total=475.00
MATCH: phishing_mails/173 -> similarity=537.00, yara_score=0.00, total=537.00
MATCH: phishing_mails/174 -> similarity=512.00, yara_score=0.00, total=512.00
MATCH: phishing_mails/175 -> similarity=1055.00, yara_score=0.00, total=1055.00
MATCH: phishing_mails/176 -> similarity=862.00, yara_score=0.00, total=862.00
MATCH: phishing_mails/177 -> similarity=863.00, yara_score=0.00, total=863.00
MATCH: phishing_mails/178 -> similarity=842.00, yara_score=0.00, total=842.00
MATCH: phishing_mails/179 -> similarity=667.00, yara_score=0.00, total=667.00
MATCH: phishing_mails/180 -> similarity=308.00, yara_score=0.00, total=308.00
MATCH: phishing_mails/181 -> similarity=408.00, yara_score=0.00, total=408.00
MATCH: phishing_mails/182 -> similarity=306.00, yara_score=0.00, total=306.00
